RK,Player,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
-,Josh GreenCHA,SG,68,27.8,7.4,2.6,6.2,42.8,1.4,3.6,39.1,0.7,1.1,68.1,2.5,1.6,1.1,0.2,1.0,0,0
-,Richaun HolmesWSH,F,31,17.2,7.4,2.9,4.5,64.7,0.0,0.1,0.0,1.6,1.9,83.3,5.7,1.4,0.3,0.7,0.7,3,0
-,AJ GreenMIL,G,73,22.7,7.4,2.5,5.8,42.9,2.1,5.0,42.7,0.3,0.4,81.5,2.4,1.5,0.5,0.1,0.5,0,0
-,Shake MiltonLAL/BKN,SG,27,18.2,7.4,2.7,5.8,46.5,1.0,2.7,38.9,0.9,1.2,75.8,1.9,2.4,0.6,0.0,0.7,1,0
-,Andre DrummondPHI,C,40,18.8,7.3,2.9,5.9,50.0,0.1,0.5,15.0,1.4,2.3,62.2,7.8,0.9,1.0,0.5,1.4,5,0
-,Ricky Council IVPHI,G,73,17.1,7.3,2.4,6.3,38.2,0.8,2.9,25.8,1.7,2.1,80.4,2.9,1.3,0.4,0.2,0.7,3,0
-,Damion BaughCHA,SG,15,24.7,7.3,2.8,8.7,32.3,0.8,3.7,21.4,0.9,1.0,86.7,3.3,3.7,1.0,0.1,2.1,0,0
-,Alec BurksMIA,SG,49,17.6,7.3,2.3,5.5,42.4,1.8,4.2,42.5,0.8,1.0,77.6,2.5,1.1,0.6,0.1,0.6,0,0
-,Vit KrejciATL,G,57,20.2,7.2,2.5,5.1,49.7,1.6,3.6,43.7,0.6,0.8,71.1,2.7,2.6,0.6,0.5,0.9,1,0
-,Tristan da SilvaORL,F,74,22.0,7.2,2.7,6.5,41.2,1.1,3.2,33.5,0.7,0.9,87.3,3.3,1.5,0.4,0.2,0.8,1,0
-,Nae'Qwan TomlinCLE,F,5,12.6,7.2,2.6,6.4,40.6,0.4,2.0,20.0,1.6,2.2,72.7,4.2,0.4,0.0,0.2,0.4,1,0
-,Goga BitadzeORL,C,70,20.4,7.2,3.0,4.8,61.1,0.0,0.4,10.7,1.2,1.9,63.9,6.6,2.0,0.7,1.4,1.0,15,0
-,Sam MerrillCLE,SG,71,19.7,7.2,2.4,6.0,40.6,1.9,5.2,37.2,0.4,0.4,96.6,2.2,1.5,0.7,0.2,0.5,0,0
-,Daeqwon PlowdenATL,G,6,12.0,7.2,2.7,4.2,64.0,1.5,2.8,52.9,0.3,0.3,100.0,1.8,0.3,0.0,0.0,0.7,0,0
-,Kelly OlynykNO/TOR,PF,24,16.0,7.1,2.5,4.9,50.0,0.8,1.8,44.2,1.4,1.8,79.1,3.7,2.3,0.7,0.3,1.5,0,0
-,Jamal SheadTOR,G,75,19.6,7.1,2.7,6.7,40.5,1.0,3.0,32.3,0.7,0.9,76.8,1.5,4.2,0.8,0.1,1.6,1,0
-,Jamison BattleTOR,F,59,17.7,7.1,2.5,5.9,42.9,1.8,4.4,40.5,0.3,0.3,88.9,2.7,0.9,0.3,0.2,0.5,0,0
-,Marcus GarrettCHA,G,4,19.8,7.0,2.8,6.8,40.7,0.8,2.0,37.5,0.8,1.0,75.0,1.5,3.3,0.8,0.5,1.5,0,0
-,Jaylen SimsCHA,G,6,18.7,7.0,2.0,4.7,42.9,1.0,2.5,40.0,2.0,2.5,80.0,1.0,2.0,0.5,0.2,1.3,0,0
-,Isaiah JacksonIND,SF,5,16.8,7.0,2.8,4.6,60.9,0.0,0.0,0.0,1.4,2.8,50.0,5.6,1.0,0.6,1.6,1.0,0,0
-,Jeff Dowtin Jr.PHI,G,41,15.1,7.0,2.7,5.6,48.7,0.7,1.7,40.0,0.8,1.1,73.3,1.5,1.9,0.6,0.3,0.4,0,0
-,Eric GordonPHI,SG,39,19.7,6.8,2.2,5.2,42.6,1.4,3.5,40.9,0.9,1.2,75.0,1.2,1.7,0.7,0.3,0.7,0,0
-,Colin CastletonTOR/MEM/PHI,C,16,24.1,6.8,2.8,5.5,50.0,0.1,0.8,16.7,1.2,1.7,70.4,7.1,1.8,0.4,0.6,1.4,0,0
-,DaQuan JeffriesCHA,SG,47,22.8,6.7,2.5,6.2,40.5,1.2,3.5,33.5,0.5,0.6,80.0,2.9,1.1,0.6,0.5,0.7,0,0
-,Marcus BagleyPHI,F,10,25.3,6.7,2.7,6.9,39.1,0.5,3.2,15.6,0.8,1.0,80.0,7.0,1.0,0.9,1.2,0.7,2,0
-,Marcus SasserDET,G,57,14.2,6.6,2.4,5.2,46.3,1.0,2.7,38.2,0.8,0.9,84.3,1.2,2.3,0.6,0.1,0.9,1,0
-,Talen Horton-TuckerCHI,SF,58,12.5,6.5,2.3,5.0,45.7,0.7,2.1,33.6,1.2,1.7,73.5,1.7,1.4,0.4,0.2,0.7,0,0
-,Seth CurryCHA,SG,68,15.6,6.5,2.4,5.0,47.8,1.2,2.7,45.6,0.5,0.6,84.6,1.7,0.9,0.4,0.1,0.5,0,0
-,Thomas BryantIND/MIA,C,66,14.6,6.5,2.5,4.9,50.8,0.7,2.2,32.4,0.8,1.0,85.9,3.8,0.8,0.4,0.6,0.5,1,0
-,Haywood HighsmithMIA,F,74,24.6,6.5,2.4,5.3,45.8,1.2,3.1,38.2,0.4,0.6,72.1,3.4,1.5,0.9,0.5,0.7,0,0
-,Ronald Holland IIDET,F,81,15.6,6.4,2.4,5.1,47.4,0.4,1.9,23.8,1.1,1.5,75.4,2.7,1.0,0.6,0.2,0.9,0,0
-,KJ MartinUTAH/PHI,F,24,20.0,6.4,2.5,4.1,61.6,0.3,0.9,38.1,1.0,1.2,82.8,3.0,0.8,0.5,0.7,0.5,0,0
-,Ryan RollinsMIL,G,56,14.6,6.2,2.4,4.8,48.7,0.9,2.1,40.8,0.6,0.8,80.0,1.9,1.9,0.8,0.3,0.9,1,0
-,Dru SmithMIA,G,14,19.1,6.2,2.2,4.4,50.8,1.1,2.1,53.3,0.6,0.9,75.0,2.6,1.6,1.5,0.4,1.2,0,0
