RK,Player,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
-,Jahmir YoungCHI,G,6,5.0,1.8,0.7,0.8,80.0,0.2,0.3,50.0,0.3,0.3,100.0,0.5,1.0,0.0,0.0,0.2,0,0
-,E.J. LiddellCHI,F,12,4.4,1.8,0.7,1.3,53.3,0.3,0.8,30.0,0.2,0.2,100.0,0.8,0.3,0.1,0.1,0.2,0,0
-,Jaden SpringerBOS/UTAH/HOU,G,26,5.4,1.7,0.5,1.3,35.3,0.2,0.7,31.6,0.6,0.8,71.4,0.9,0.4,0.5,0.0,0.2,0,0
-,Tristan ThompsonCLE,C,40,8.2,1.7,0.8,1.8,43.7,0.0,0.1,0.0,0.2,0.8,23.3,3.4,0.6,0.1,0.3,0.4,0,0
-,Emanuel MillerCHI,F,6,4.2,1.7,0.7,1.3,50.0,0.0,0.2,0.0,0.3,0.3,100.0,1.3,0.3,0.2,0.0,0.0,0,0
-,Phillip WheelerPHI,F,5,8.8,1.6,0.6,4.2,14.3,0.0,2.0,0.0,0.4,0.4,100.0,1.6,0.4,0.2,0.4,0.2,0,0
-,Jordan WalshBOS,G,52,7.8,1.6,0.6,1.6,36.1,0.3,1.1,27.3,0.1,0.2,58.3,1.3,0.4,0.2,0.2,0.3,0,0
-,Chris LivingstonMIL,F,21,5.0,1.4,0.4,1.3,33.3,0.0,0.4,0.0,0.6,0.8,75.0,1.7,0.2,0.2,0.0,0.3,0,0
-,Xavier TillmanBOS,F,33,7.0,1.0,0.4,1.6,24.5,0.2,1.0,15.6,0.1,0.1,75.0,1.3,0.2,0.3,0.2,0.4,0,0
-,Elfrid PaytonNO/CHA,G,6,20.5,1.0,0.5,3.5,14.3,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.3,1.0,0.5,1.2,0,0
-,Luke TraversCLE,G,12,7.3,1.0,0.4,1.7,25.0,0.0,0.8,0.0,0.2,0.2,100.0,1.7,0.7,0.1,0.1,0.7,0,0
-,Daniss JenkinsDET,G,7,3.3,1.0,0.4,1.4,30.0,0.1,1.0,14.3,0.0,0.3,0.0,0.3,0.4,0.0,0.0,0.1,0,0
-,D.J. CartonTOR,G,4,8.3,0.8,0.3,1.8,14.3,0.0,0.8,0.0,0.3,0.3,100.0,1.0,0.8,0.5,0.0,1.0,0,0
-,Ulrich ChomcheTOR,C,7,4.6,0.7,0.3,0.7,40.0,0.0,0.0,0.0,0.1,0.3,50.0,1.1,0.3,0.0,0.1,0.3,0,0
-,Liam RobbinsMIL,C,13,4.4,0.7,0.2,0.6,25.0,0.0,0.2,0.0,0.4,0.8,50.0,0.9,0.2,0.2,0.2,0.5,0,0
-,Stanley UmudeMIL,G,22,3.9,0.7,0.2,1.2,19.2,0.1,0.7,20.0,0.1,0.2,50.0,0.8,0.2,0.1,0.3,0.1,0,0
-,James JohnsonIND,PF,12,3.1,0.7,0.3,0.9,36.4,0.0,0.3,0.0,0.0,0.1,0.0,0.5,0.3,0.0,0.2,0.3,0,0
-,Tristen NewtonIND/MIN,G,5,1.6,0.6,0.2,1.2,16.7,0.0,0.6,0.0,0.2,0.2,100.0,0.0,0.2,0.0,0.0,0.2,0,0
-,Yongxi CuiBKN,G,5,2.0,0.6,0.2,1.4,14.3,0.0,0.6,0.0,0.2,0.4,50.0,0.4,0.0,0.0,0.0,0.0,0,0
